run,strategy,generation,index,algorithm,fitness
exp_mo_1plus1_run1,(1+1)-ES,0,1,MOBO_GP_Tchebycheff,0.433538
exp_mo_1plus1_run1,(1+1)-ES,1,2,MOBO_GP_Tchebycheff_LCB,0.421163
exp_mo_1plus1_run1,(1+1)-ES,2,3,MOBO_GP_Tchebycheff_LocalOpt,
exp_mo_1plus1_run1,(1+1)-ES,3,4,MOBO_GP_Tchebycheff_LCB,0.432769
exp_mo_1plus1_run1,(1+1)-ES,4,5,MOBO_GP_Tchebycheff,0.460604
exp_mo_1plus1_run1,(1+1)-ES,5,6,MOBO_GP_Tchebycheff,0.450992
exp_mo_1plus1_run1,(1+1)-ES,6,7,MOBO_GP_Tchebycheff_Isotropic,0.431719
exp_mo_1plus1_run1,(1+1)-ES,7,8,MOBO_GP_Tchebycheff,0.443445
exp_mo_1plus1_run1,(1+1)-ES,8,9,MOBO_GP_Tchebycheff_Isotropic,0.400606
exp_mo_1plus1_run1,(1+1)-ES,9,10,MOBO_GP_Tchebycheff_Fast,0.435852
exp_mo_1plus1_run1,(1+1)-ES,10,11,MOBO_GP_Tchebycheff_Refined,0.439150
exp_mo_1plus1_run1,(1+1)-ES,11,12,MOBO_GP_Tchebycheff,0.443621
exp_mo_1plus1_run1,(1+1)-ES,12,13,MOBO_GP_Tchebycheff_Fast,0.505500
exp_mo_1plus1_run1,(1+1)-ES,13,14,MOBO_GP_Tchebycheff_HV,0.490024
exp_mo_1plus1_run1,(1+1)-ES,14,15,MOBO_GP_Tchebycheff_FixedKernel,0.476222
exp_mo_1plus1_run1,(1+1)-ES,15,16,MOBO_GP_Tchebycheff_Optimized,0.451395
exp_mo_1plus1_run1,(1+1)-ES,16,17,MOBO_GP_Tchebycheff_Fast,0.444821
exp_mo_1plus1_run1,(1+1)-ES,17,18,MOBO_GP_Tchebycheff_LCB,0.474965
exp_mo_1plus1_run1,(1+1)-ES,18,19,MOBO_GP_Tchebycheff_Fast_Refined,
exp_mo_1plus1_run1,(1+1)-ES,19,20,MOBO_GP_Tchebycheff_Fast,0.455641
exp_mo_1plus1_run1,(1+1)-ES,20,21,MOBO_GP_Tchebycheff_Refined,0.469908
exp_mo_1plus1_run1,(1+1)-ES,21,22,MOBO_GP_Tchebycheff_Fast_V2,0.458468
exp_mo_1plus1_run1,(1+1)-ES,22,23,MOBO_GP_Tchebycheff_AdaptiveKernel,0.462945
exp_mo_1plus1_run1,(1+1)-ES,23,24,MOBO_GP_Tchebycheff_Streamlined,0.446026
exp_mo_1plus1_run1,(1+1)-ES,24,25,MOBO_GP_Tchebycheff_SobolWeights,0.467286
exp_mo_1plus1_run1,(1+1)-ES,25,26,MOBO_GP_Tchebycheff_Robust,0.486598
